iter	Passed	Remaining
0	139	139005
1	140	70003
2	141	46893
3	141	35340
4	142	28405
5	143	23768
6	144	20476
7	145	18067
8	146	16126
9	147	14564
10	147	13280
11	148	12218
12	149	11312
13	149	10537
14	150	9862
15	150	9269
16	151	8749
17	151	8287
18	152	7872
19	153	7500
20	153	7163
21	154	6856
22	154	6577
23	155	6319
24	155	6081
25	156	5863
26	157	5660
27	157	5472
28	158	5298
29	158	5135
30	159	4982
31	159	4839
32	160	4704
33	161	4577
34	161	4458
35	162	4348
36	162	4241
37	163	4139
38	164	4043
39	164	3951
40	165	3866
41	165	3783
42	166	3706
43	167	3631
44	167	3560
45	168	3492
46	168	3426
47	169	3363
48	170	3302
49	170	3243
50	171	3187
51	171	3133
52	172	3081
53	173	3031
54	173	2981
55	174	2934
56	174	2890
57	175	2847
58	175	2806
59	176	2765
60	177	2726
61	177	2688
62	178	2651
63	178	2616
64	179	2581
65	180	2547
66	180	2514
67	181	2483
68	181	2452
69	182	2422
70	182	2392
71	183	2364
72	183	2336
73	184	2309
74	185	2282
75	185	2257
76	186	2232
77	186	2207
78	187	2184
79	188	2162
80	188	2139
81	189	2117
82	189	2092
83	189	2071
84	190	2050
85	191	2030
86	191	2010
87	192	1991
88	192	1973
89	193	1955
90	193	1936
91	194	1919
92	195	1901
93	195	1884
94	196	1868
95	196	1852
96	197	1836
97	197	1821
98	198	1806
99	199	1792
100	199	1777
101	200	1763
102	200	1748
103	201	1734
104	201	1720
105	202	1707
106	203	1695
107	203	1682
108	204	1669
109	204	1657
110	205	1645
111	205	1632
112	206	1620
113	207	1609
114	207	1597
115	208	1586
116	208	1575
117	209	1564
118	209	1553
119	210	1543
120	210	1532
121	211	1521
122	211	1510
123	212	1501
124	213	1491
125	213	1481
126	214	1471
127	214	1463
128	215	1454
129	215	1445
130	216	1436
131	217	1428
132	217	1419
133	218	1410
134	218	1401
135	219	1394
136	220	1386
137	220	1379
138	221	1371
139	222	1364
140	222	1357
141	223	1348
142	223	1341
143	224	1334
144	225	1327
145	225	1321
146	226	1314
147	227	1310
148	228	1303
149	228	1297
150	229	1291
151	230	1284
152	231	1279
153	231	1273
154	232	1266
155	232	1260
156	233	1253
157	234	1247
158	234	1241
159	235	1235
160	235	1228
161	236	1223
162	237	1217
163	237	1212
164	238	1206
165	238	1200
166	239	1194
167	240	1189
168	240	1183
169	241	1178
170	242	1173
171	242	1168
